№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага процесса,Срок,Описание процесса
11,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения. Архивировать электронное дело"
12,Судья ,"","","Заявление не принято к рассмотрению, передано в архивЗавершение процесса","","Завершение процессаЗаявление не принято к рассмотрению, передано в архив"
13,Судья ,-,-,Возникла необходимость в выборе АУ,-,Возникла необходимость в выборе АУ
14,Система,-,-,Уведомить СРО о выборе кандидатуры АУ,-,Система уведомляет СРО о выборе кандидатуры АУ
15,Система,-,-,Получить информацию о соответствии кандидатуры АУ,-,Система получает информацию о соответствии кандидатуры АУ
16,ЛУВД,-,-,Кандидат соответствует требования?Эксклюзивный шлюз,-,Кандидат соответствует требования?Эксклюзивный шлюзДа: переход к шагу 17Нет: переход к шагу 18
17,Судья ,-,"",Выбран кандидат для утверждения АУЗавершение процесса,-,Выбран кандидат для утверждения АУЗавершение процесса
18,Система,-,-,Получить информацию о новой кандидатуре,"",Система получает информацию о новой кандидатуре
19,Судья ,-,-,Переход в шаг 136.,-,Переход в шаг 136.
20,Судья ,-,"",Возникла необходимость случайного выбора СРО,-,Возникла необходимость случайного выбора СРО
21,Система,-,-,Выбрать случайно в порядке публикации,-,Система запускает процесс случайного выбора СРО 
22,Система,-,-,Определить СРО для выбора АУ,-,Система определяет СРО для выбора АУ
23,Судья ,-,-,Переход в шаг 69.,-,Переход в шаг 69.
24,ЛУВД,-,-,Возникла необходимость стать участником дела о банкротстве,-,Возникла необходимость стать участником дела о банкротстве
25,ЛУВД,-,-,Заявить как участника процесса,-,ЛУВД заявляет себя как участника процесса
26,Судья,-,-,Лицо подало заявление об участии в деле,-,Лицо подало заявление об участии в деле
27,Судья,"",-,Рассмотреть вопрос об изменении состава ЛУВД,-,Переход в ТП Рассмотреть вопрос об изменении состава ЛУВД
28,Судья ,-,"",Рассмотрен вопрос об изменении состава ЛУВДЗавершение процесса,-,Рассмотрен вопрос об изменении состава ЛУВДЗавершение процесса
29,ЛУВД,-,-,Суд предоставил доступ к делу?Эксклюзивный шлюз,-,Суд предоставил доступ к делу?Эксклюзивный шлюзДа: переход к шагу 30Нет: переход к шагу 32
30,Система,-,-,Предоставить доступ,-,Предоставить доступ
31,ЛУВД,-,"",Лицу присвоена категория участника делаЗавершение процесса,-,Лицу присвоена категория участника делаЗавершение процесса
32,ЛУВД,-,-,В доступе отказаноЗавершающее событие,-,В доступе отказаноЗавершающее событие
33,ЛУВД,"",-,Получено уведомление о принятии,"",ЛУВД получает уведомление о принятии
34,ЛУВД,-,-,Ознакомиться с материалами дела в ЛК,—,ЛУВД знакомится с определением о принятии
35,ЛУВД,-,-,Необходимо подать отзыв?Эксклюзивный шлюз,—,"ЛУВД определяет, необходимо ли подать отзыв на заявлениеЭксклюзивный шлюзДа: переход к шагу 36Нет: переход к шагу 37"
36,ЛУВД,"",Отзыв,Подать документы в суд,Срок установленный судом,"Переход к типовому процессу ""Подать документы в суд"". ЛУВД формируют и подают отзыв на заявление Подача документов в электронном виде через форму подачи документов в суд"
37,ЛУВД,"","",Эксклюзивный шлюз,"",Эксклюзивный шлюз
38,ЛУВД,-,-,Требуется подать протокол собрания кредиторов?Эксклюзивный шлюз,"",Требуется подать протокол собрания кредиторов?Эксклюзивный шлюзДа: переход к шагу 39Нет: переход к шагу 40
39,ЛУВД,-,Протокол собрания кредиторов,Подать документы в суд,Срок установленный судом,"Переход к типовому процессу ""Подать документы в суд"". ЛУВД формируют и подают Протокол собрания кредиторовПодача документов в электронном виде через форму подачи документов в суд"
40,ЛУВД,-,-,Эксклюзивный шлюз,"",Эксклюзивный шлюз
41,ЛУВД,-,"",Лица ознакомлены/ Документы поданыЗавершающее событие,"",Лица ознакомлены/ Документы поданыЗавершающее событие
42,Система,"","",Ограничить подачу,"",Система ограничивает подачу документов 
43,Система,"","",Ограничена подача в судЗавершение процесса,"",Ограничена подача в судЗавершение процесса
44,Канцелярия,Отзыв на Заявление Протокол собрания кредиторов,"",Поступил документ по делу,"",Автоматизация регистрации и присвоения номера документа
45,Канцелярия,Отзыв на Заявление Протокол собрания кредиторов,Зарегистрированный документ ,Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу «Принять входящий документ».Автоматические проверки, автоматическое отклонение по техническим основаниям, автоматическая регистрация, задача на валидацию, валидация регистрации сотрудником ОД, задача на судью"
46,Помощник судьи,-,-,Эксклюзивный шлюз,-,Эксклюзивный шлюз: Объединение потоков перед подготовкой к судебному заседанию
47,ЛУВД,-,—,Возникла необходимость в рассмотрении дела в своё отсутствие,—,"Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций "
48,ЛУВД,-,Ходатайство о рассмотрении дела в отсутствие представителя/в свое отсутствие,Подать документы в суд,"Срок не установлен, но должно быть подано до проведения СЗ","Переход к типовому процессу ""Подать документы в суд"", в рамках которого Арбитражный управляющий формирует и направляет ходатайство о рассмотрении дела в свое отсутствие/отсутствие представителя для предупреждения об отсутствии в силу уважительных причинПодача документов в электронном виде через форму подачи документов в суд"
49,ЛУВД,-,—,Завершение процесса,—,Завершение процесса
50,Канцелярия,Ходатайство о рассмотрении дела в отсутствие представителя/в свое отсутствие,Зарегистрированный документ,Поступил документ по делу,"",Автоматизация регистрации и присвоения номера документа
51,Канцелярия,Ходатайство о рассмотрении дела в отсутствие представителя/в свое отсутствие,Зарегистрированный документ ,Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу «Принять входящий документ».Автоматические проверки, автоматическое отклонение по техническим основаниям, автоматическая регистрация, задача на валидацию, валидация регистрации сотрудником ОД, задача на судью"
52,Канцелярия,-,-,Завершение процесса,—,Завершение процесса
53,ЛУВД,—,Ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,Возникла необходимость подать ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,—,ЛУВД формирует и подает ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу
54,ЛУВД,Ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,"",Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого ЛУВД формирует и направляет Ходатайство о приостановлении/оставлении без рассмотрения/прекращении производства по делуПодача документов в электронном виде через форму подачи документов в суд"
55,ЛУВД,—,—,Переход к шагам о приостановлении/оставлении без рассмотрения/прекращении производства по делу,—,Переход к рассмотрению соответствующих шагов о о приостановлении/оставлении без рассмотрения/прекращении производства по делу
56,ЛУВД,-,"", Появилась необходимость обратиться с обособленным спором в рамках дела о банкротстве,-, Появилась необходимость обратиться с обособленным спором в рамках дела о банкротстве
57,ЛУВД,-,"",Переход к схеме по обособленным спорам,-,Переход к схеме по обособленным спорам
58,ЛУВД,"",Заявление об отводе судьи,Возникла необходимость в отводе судьи,—,ЛУВД принимает решение о подаче заявления об отводе судьи
59,ЛУВД,-,Заявление об отводе судьи,Подать документы в суд,до начала рассмотрения дела по существу,"Переход к типовому процессу «Подать документы в суд», в рамках которого ЛУВД  формирует и направляет заявление об отводе судьи. Отвод и самоотвод судьи регулируется правилами главы 3 АПК. Самоотвод или отвод должен быть мотивирован и заявлен до начала рассмотрения дела по существу. В ходе рассмотрения дела заявление о самоотводе или об отводе допускается только в случае, если основание самоотвода или отвода стало известно лицу, заявляющему самоотвод или отвод, после начала рассмотрения дела по существу.Подача документов в электронном виде через форму подачи документов в суд"
60,ЛУВД,-,—,Завершение подачи заявления,—,Процесс подачи заявления завершен
61,Судья,-,—,Возникла необходимость в отводе/самоотводе судьи,—,Судья принимает решение о самоотводе. Основания для отвода/самоотвода судьи регулируются ст. 21 АПК.
62,Судья,-,Определение об отводе/самоотводе,Отвод/самоотвод судьи,—,"Судья рассматривает вопрос об отводе или принимает самоотвод . Согласно ст. 24-26 АПК по итогам заявления отвода/самоотвода в случае единоличного рассмотрения, вопрос решается тем же судьей, в случае коллегиального-большинством голосов при удалении судьи, в отношении которого заявлен отвода/самоотвода. В результате отвода/самоотвода судья в заседании заменяется."
63,Судья,-,—,Завершение процесса ,—,Процесс отвода судьи завершен
64,Помощник судьи/,Дело/документ,Подготовленные материалы к СЗ,Подготовиться к СЗ,"Четкий срок не установлен. Подготовка дела к судебному разбирательству проводится в срок, определяемый судьей с учетом обстоятельств конкретного дела и необходимости совершения соответствующих процессуальных действий","Переход к Типовому процессу «Подготовиться к СЗ».Автоматические запросы, запросы в другую ИС, отчет о подготовке дела к рассмотрению, задачи на секретаря, помощника судьи, возможность проведения собеседования, формирование проекта СА, аудио протоколирование, транскибация собеседования"
65,Судья,—,"Судебный акт об отложении, протокол СЗ",Провести СЗ,"","Судья проводит судебное заседание по рассмотрению делаПереход к типовому процессу ""Провести СЗ"". В результате данного ТП Судья проводит СЗ для рассмотрения дела по существу. Аудио протоколирование, транскибация, формирование проекта протокола СЗ, онлайн график СЗ, автоматическая проверка явки, подбор времени и места проведения СЗ при перерыве и отложении, формирование проекта СА об отложении СЗ"
66,Судья,—,—,Требуется приостановить производство по делу/заявлению?Эксклюзивный шлюз,—,Судья принимает решение о необходимости приостановления производства по делуДа: переход к шагу 67Нет: переход к шагу 68
67,Судья,"Ходатайство о приостановлении, материалы дела",Определение о приостановлении,Рассмотреть вопрос о приостановлении,—,"Переход к типовому процессу ""Рассмотреть вопрос о приостановлении"". В результате ТП Судья рассматривает ходатайство о приостановлении производства по делу, анализирует представленные материалы и принимает соответствующее процессуальное решениеПриостановление:АС обязан приостановить дела согласно ст 143 АПК в связи со смертью гражданина, утратой дееспособности, невозможности рассмотрения данного дела до разрешения другого дела иным судом, участия гражданина, являющегося стороной в деле, в боевых действияхАС в праве приостановить рассмотрение дела согласно ст 144 АПК в связи с реорганизацией ЮЛ, назначением экспертизы, для выполнения гражданином государственной обязанности, нахождением стороны в лечебном учреждении или длительной служебной командировке, участие ЕИО организации в боевых действияхОставление искового заявления без рассмотрения проводится согласно ст. 148 АПК. Оставление искового заявления без рассмотрения не лишает истца права вновь обратиться в Судья с заявлением в общем порядке после устранения обстоятельств, послуживших основанием для оставления заявления без рассмотренияПрекращение производства проводится согласно ст. 150 АПК. В случае прекращения производства по делу повторное обращение в Судья по спору между теми же лицами, о том же предмете и по тем же основаниям не допускается, за исключением прекращения производства по делу о защите прав и законных интересов группы лиц в порядке, установленном частью 7 статьи 225.15 АПК."
68,Судья,—,—,Эксклюзивный шлюз,—,"Объединение потоков после рассмотрения вопросов о приостановлении, переход к шагу 86"
69,Судья,"","",Требуется ли объединить дела в одно производство?Эксклюзивный шлюз,"",Определяется требуется ли объединить заявления в одно производствоЭксклюзивный шлюзДа: переход к шагу 70Нет: переход к шагу 72
70,Судья,Заявление об объединении дел в одно производство,Определение об объединении дел в одно производство,Рассмотреть вопрос об объединение дел,—,"Переход к типовому процессу ""Рассмотреть вопрос об объединении дел"". В результате ТП Судья рассматривает целесообразность и основание для объединения нескольких дел в одно производство. Вопрос об объединении дел проводится согласно ст 130 АПК. После объединения дел в одно производство или выделения требований в отдельное производство рассмотрение дела производится с самого начала"
71,Судья,Заявление об объединении дел в одно производство,"",Данное заявление продолжает рассматриваться?Эксклюзивный шлюз,—,Определяется продолжает ли рассматриваться заявлениеДа: переход к шагу 72Нет: переход к шагу 73
72,Судья,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз, переход к шагу 86"
73,Судья,"","",Завершение процесса,—,Завершение процесса
74,Судья,—,—,Возникла необходимость в замене судьи,—,Судья принимает решение о необходимости замены
75,Судья,—,Определение о замене судьи,Заменить судью,—,"Судья принимает решение о замене судьи. Согласно ст 18 АПК в случае замены судьи, арбитражного заседателя в процессе рассмотрения дела судебное разбирательство должно быть произведено с самого начала. "
76,Судья,"","",Завершение процесса ,—,Процесс замены судьи завершен
77,Судья,-,-, Возникла необходимость в продлении срока рассмотрения дела,-, Возникла необходимость в продлении срока рассмотрения дела
78,Судья,-,-,Рассмотреть вопрос о продлении срока рассмотрения,-,"Переход к ТП ""Рассмотреть вопрос о продлении срока рассмотрения"""
79,Судья,-,-,Завершение процесса ,-,Завершение процесса 
80,Судья,-,-,Возникла необходимость в  ускорении,-,Возникла необходимость в  ускорении
81,Судья,-,Заявление об ускорении,Подать документы в суд,"",Переход к типовому процессу: Подать документы в суд.
82,Судья,-,-,Завершение процесса ,-,Завершение процесса 
83,ЛУВД,-,-,Поступило заявление об ускорении,-,Поступило заявление об ускорении
84,ЛУВД,-,-,Рассмотреть вопрос об ускорении,-,Переход к типовому процессу: Рассмотреть вопрос об ускорении
85,ЛУВД,-,-,Завершение процесса ,-,Завершение процесса 
86,Система,-,-,Проанализировать дело,"",Проанализировать дело
87,Судья,"","",Сформировать правовую позицию по делу,"","Переход к типовому процессу ""Сформировать правовую позицию по делу"". В результате данного ТП Система проводит автоматические проверки, анализирует материалы дела и судебную практику, формирует отчет для судьи.Внутри данного процесса ТП ""Оценить доказательства по делу""Судья формирует правовую позицию по делу (будет ли рассматривать дело по существу, прекратит, передаст по подсудности)"
88,Судья,-,-,Рассмотреть вопрос о назначении процедуры распределения,-,Рассмотреть вопрос о назначении процедуры распределения
89,Судья,-,-,Какой результат рассмотрения вопроса о назначении процедуры распределения обнаруженного имущества?Эксклюзивный шлюз,-,"Какой результат рассмотрения вопроса о назначении процедуры распределения обнаруженного имущества?Эксклюзивный шлюз:Переход к шагам 90-92,93,103"
90,Судья,"",Определение об оставлении искового заявления без рассмотрения,Рассмотреть вопрос об оставлении без рассмотрения,—,"Переход к типовому процессу ""Рассмотреть вопрос об оставлении без рассмотрения"" В результате этого ТП Судья принимает решение об оставлении заявления без рассмотренияОставление искового заявления без рассмотрения проводится согласно ст. 148-149 АПК.В случае оставления искового заявления без рассмотрения производство по делу заканчивается вынесением определения.В определении арбитражный суд указывает основания для оставления искового заявления без рассмотрения, а также решает вопрос о возврате государственной пошлины из федерального бюджета в случае, предусмотренном частью 2 статьи 148 АПК.Оставление искового заявления без рассмотрения не лишает истца права вновь обратиться в арбитражный суд с заявлением в общем порядке после устранения обстоятельств, послуживших основанием для оставления заявления без рассмотрения.  "
91,Судья,"","",Рассмотреть вопрос о прекращении производства по делу,—,"Переход к типовому процессу ""Рассмотреть вопрос о прекращении производства по делу"" В результате этого ТП Судья принимает решение о прекращении производстваПрекращение производства проводится согласно ст. 150 АПК. О прекращении производства по делу арбитражный суд выносит определение.В определении арбитражный суд указывает основания для прекращения производства по делу, а также разрешает вопросы о возврате государственной пошлины из федерального бюджета в случае, предусмотренном частью 1 статьи 150 АПК, и распределении между сторонами судебных расходов.В случае прекращения производства по делу повторное обращение в арбитражный суд по спору между теми же лицами, о том же предмете и по тем же основаниям не допускается, за исключением прекращения производства по делу о защите прав и законных интересов группы лиц в порядке, установленном частью 7 статьи 225.15 настоящего Кодекса."
92,Судья,—,Определение о передаче по подсудности,Передать дело по подсудности,—,Судья принимает решение о передаче дела по подсудности
93,Судья,—,"Решение об отказе в назначении процедуры распределения обнаруженного имущества среди лиц, имеющих на это право",Принять СА,3 месяца с даты поступления заявления,"Переход к типовому процессу ""Принять СА"". В результате этого ТП Судья принимает судебный акт Решение об отказе в назначении процедуры распределения обнаруженного имущества среди лиц, имеющих на это правоФормирование проекта СА, электронное извещение ЛУВД"
94,ЛУВД,-,-,"Получено уведомление об отказе в назначении процедуры распределения обнаруженного имущества среди лиц, имеющих на это право",—,ЛУВД получают уведомление о решении
95,ЛУВД,-,-,Ознакомиться,—,"ЛУВД знакомятся с решением об отказе в назначении процедуры распределения обнаруженного имущества среди лиц, имеющих на это право"
96,ЛУВД,-,-,Есть основание для обжалования?Эксклюзивный шлюз,—,"ЛУВД определяют, есть ли основания для обжалованияЭксклюзивный шлюзДа: переход к шагу 97Нет: переход к шагу 98"
97,ЛУВД,-,-,Переход к процессу апелляционного обжалования,—,Переход к процессу апелляционного обжалования
98,ЛУВД,-,-,Отказано в назначении процедуры распределенияЗавершение процесса,"",Отказано в назначении процедуры распределенияЗавершение процесса
99,Судья,-,-,Эксклюзивный шлюз,-,Эксклюзивный шлюз
100,Судья,-,-,Ожидать 6 месяцев с даты вступления в законную силу СА,-,Ожидать 6 месяцев с даты вступления в законную силу СА
101,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения. Архивировать электронное дело"
102,Судья,—,—,Завершение процесса,—,Завершение процесса
103,Судья,-,-,Установить порядок и сроки ликвидации,-,Установить порядок и сроки ликвидации
104,Судья,-,-,Утвердить конкурсного управляющего,-,Утвердить конкурсного управляющего
105,Судья,-,-,Назначить СЗ,-,Переход к типовому процессу: Назначить СЗ.Судья назначает судебное заседание для рассмотрения отчета конкурсного управляющего о ходе процедуры распределения имущества
106,Судья,-,Решение о назначении процедуры распределения обнаруженного имущества ликвидированного юридического лица,Принять СА,-,Переход к типовому процессу: Принять СА.Судья выносит решение о назначении процедуры распределения обнаруженного имущества ликвидированного юридического лица
107,ЛУВД,-,-,Получено уведомление о назначении процедуры распределения обнаруженного имущества ликвидированного юридического лица,—,ЛУВД получают уведомление о решении
108,ЛУВД,-,-,Ознакомиться,—,ЛУВД знакомятся с решением о назначении процедуры распределения обнаруженного имущества ликвидированного юридического лица
109,ЛУВД,-,-,Есть основание для обжалования?Эксклюзивный шлюз,—,"ЛУВД определяют, есть ли основания для обжалованияЭксклюзивный шлюзДа: переход к шагу 110Нет: переход к шагу 111"
110,ЛУВД,-,-,Переход к процессу апелляционного обжалования,—,Переход к процессу апелляционного обжалования
111,ЛУВД,-,-,"Сообщение о процедуре распределения имущества ликвидируемой ЮЛ публикуется в Федресурс, подтверждается наличие обнаруженного имущества, составляется ликвидационный баланс и РТКЗавершение процесса","","Сообщение о процедуре распределения имущества ликвидируемой ЮЛ публикуется в Федресурс, подтверждается наличие обнаруженного имущества, составляется ликвидационный баланс и РТКЗавершение процесса"
112,ЛУВД,-,-,Возникла необходимость разрешить разногласия между ЛУВД в деле о банкротстве,"",Возникла необходимость разрешить разногласия между ЛУВД в деле о банкротстве
113,ЛУВД,-,-,Переход к процессу производство по обособленным спорам о разрешении разногласий между АУ и ЛУВД,"",Переход к процессу производство по обособленным спорам о разрешении разногласий между АУ и ЛУВД
114,ЛУВД,-,-,Возникла необходимость в освобождении от исполнения обязанностей АУ,"",Возникла необходимость в освобождении от исполнения обязанностей АУ
115,Судья,-,-,Переход к процессу производство по обособленным спорам об освобождении от исполнения обязанностей АУ,"",Переход к процессу производство по обособленным спорам об освобождении от исполнения обязанностей АУ
116,Судья,-,-,Возникла необходимость предъявить требования к должнику/ Заменить кредитора в РТК/ Исключить требования из РТК,"",Возникла необходимость предъявить требования к должнику/ Заменить кредитора в РТК/ Исключить требования из РТК
117,Судья,-,-,"Переход к процессу производство по обособленным спорам о включении, замене, исключении требований кредиторов","","Переход к процессу производство по обособленным спорам о включении, замене, исключении требований кредиторов"
118,Судья,-,-,Появилась необходимость обратиться с обособленным спором в документарном порядке,-,Появилась необходимость обратиться с обособленным спором в документарном порядке
119,Судья,-,-,Переход к схеме документарное производство по обособленным спорам,-,Переход к схеме документарное производство по обособленным спорам
120,Судья,-,-,У АУ появилась необходимость истребовать документы и ценности,-,У АУ появилась необходимость истребовать документы и ценности
121,Судья,-,-,Переход к процессу производство по обособленным спорам об истребовании арбитражным управляющим сведений и документов в судебном порядке,-,Переход к процессу производство по обособленным спорам об истребовании арбитражным управляющим сведений и документов в судебном порядке
122,Судья,-,-,Требуется утвердить конкурсного управляющего?,-,Требуется утвердить конкурсного управляющего?
123,Судья,-,-,Рассмотреть кандидатуру АУ,-,Судья рассматривает кандидатуру арбитражного управляющего 
124,Судья,-,-,Рассмотреть мнения сторон о кандидатуре АУ,-,Судья рассматривает мнения сторон о кандидатуре АУ
125,Судья,-,"",Оценить доказательства по делу,-,Переход к типовому процессу: Оценить доказательства по делу
126,Судья,-,-,Рассмотреть по существу,-,Переход к типовому процессу: Рассмотреть по существу
127,Судья,-,Определение об утверждении конкурсного управляющего,Принять СА,-,Переход к типовому процессу: Принять СА.Определение об утверждении конкурсного управляющего
128,Судья ,-,-,Утвержден АУЗавершающее событие,"",Завершающее событиеУтвержден АУ
129,ЛУВД,-,-,Появилась необходимость подать отчет конкурсного управляющего,-,Появилась необходимость подать отчет конкурсного управляющего
130,ЛУВД,"",-,Подать документы в суд,"","Переход к типовому процессу ""Подать документы в суд"". ЛУВД формируют и подают Отчет конкурсного управляющего с приложениями, Реестр требований кредиторовПодача документов в электронном виде через форму подачи документов в суд"
131,ЛУВД,-,-,Завершающее событие,-,Завершающее событие
132,Канцелярия,-,"Отчет конкурсного управляющего с приложениями, Реестр требований кредиторов",Поступил документ,-,Поступило документ по делу
133,Канцелярия,"Отчет конкурсного управляющего с приложениями, Реестр требований кредиторов",Зарегистрированный документ,Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу ""Принять входящий документ"". При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированное дело"
134,Помощник судьи,-,-,Эксклюзивный шлюз,-,Эксклюзивный шлюз
135,Помощник судьи/,Дело/документ,Подготовленные материалы к СЗ,Подготовиться к СЗ,"Четкий срок не установлен. Подготовка дела к судебному разбирательству проводится в срок, определяемый судьей с учетом обстоятельств конкретного дела и необходимости совершения соответствующих процессуальных действий","Переход к Типовому процессу «Подготовиться к СЗ».Автоматические запросы, запросы в другую ИС, отчет о подготовке дела к рассмотрению, задачи на секретаря, помощника судьи, возможность проведения собеседования, формирование проекта СА, аудио протоколирование, транскибация собеседования"
136,Судья,—,"Судебный акт об отложении, протокол СЗ",Провести СЗ,"","Судья проводит судебное заседание по рассмотрению делаПереход к типовому процессу ""Провести СЗ"". В результате данного ТП Судья проводит СЗ для рассмотрения дела по существу. Аудио протоколирование, транскибация, формирование проекта протокола СЗ, онлайн график СЗ, автоматическая проверка явки, подбор времени и места проведения СЗ при перерыве и отложении, формирование проекта СА об отложении СЗ"
137,Система,-,-,Проанализировать дело,-,Проанализировать дело
138,Судья,-,-,Оценить доказательства по делу,-,Переход к типовому процессу: Оценить доказательства по делу
139,Судья,"","",Параллельный шлюз,"","Параллельный шлюз, переход к шагам 140,141"
140,Судья ,-,-,Рассмотреть отчет конкурсного управляющего,-,Рассмотреть отчет конкурсного управляющего
141,Судья ,-,-,Рассмотреть вопрос о завершении процедуры распределения,-,Рассмотреть вопрос о завершении процедуры распределения
142,Судья ,-,-,Параллельный шлюз,"","Параллельный шлюз, переход к шагу 142"
143,Судья ,-,-,Какой результат рассмотрения вопроса о завершении процедуры распределения,-,Какой результат рассмотрения вопроса о завершении процедуры распределения
144,Судья,"","",Рассмотреть вопрос о прекращении производства по делу,—,"Переход к типовому процессу ""Рассмотреть вопрос о прекращении производства по делу"" В результате этого ТП Судья принимает решение о прекращении производстваПрекращение производства проводится согласно ст. 150 АПК. О прекращении производства по делу арбитражный суд выносит определение.В определении арбитражный суд указывает основания для прекращения производства по делу, а также разрешает вопросы о возврате государственной пошлины из федерального бюджета в случае, предусмотренном частью 1 статьи 150 АПК, и распределении между сторонами судебных расходов.В случае прекращения производства по делу повторное обращение в арбитражный суд по спору между теми же лицами, о том же предмете и по тем же основаниям не допускается, за исключением прекращения производства по делу о защите прав и законных интересов группы лиц в порядке, установленном частью 7 статьи 225.15 настоящего Кодекса."
145,Судья ,-,-,Ожидать 6 месяцев с даты вступления в законную силу СА,-,Ожидать 6 месяцев с даты вступления в законную силу СА
146,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения. Архивировать электронное дело"
147,Судья,—,—,Дело прекращеноЗавершение процесса,—,Завершение процессаДело прекращено
148,Судья,-,Определение о продлении срока распределения имущества ликвидированного ЮЛ,Принять СА,-,Переход к типовому процессу: Принять СА.Определение о продлении срока распределения имущества ликвидированного ЮЛ
149,Судья,-,-,Переход в шаг,-,Переход в шаг
150,ЛУВД,-,-,Получено уведомление о продлении   срока распределения имущества ликвидированного ЮЛ,—,ЛУВД получают уведомление о продлении   срока распределения имущества ликвидированного ЮЛ
151,ЛУВД,-,-,Ознакомиться,—,ЛУВД знакомятся с Определением о продлении срока распределения имущества ликвидированного ЮЛ
152,ЛУВД,-,-,Есть основание для обжалования?Эксклюзивный шлюз,—,"ЛУВД определяют, есть ли основания для обжалованияЭксклюзивный шлюзДа: переход к шагу 153Нет: переход к шагу 154"
153,ЛУВД,-,-,Переход к процессу апелляционного обжалования,—,Переход к процессу апелляционного обжалования
154,ЛУВД,-,-,Лицо ознакомленоЗавершение процесса,"",Лицо ознакомленоЗавершение процесса
