Номер действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага процесса,Срок,Описание процесса,Предложения по автоматизации
23,Судья,-,-,Закон требует изготовление мотивированного СА по умолчанию?(Эксклюзивный шлюз),-,"В судебном заседании, в котором закончено рассмотрение дела по существу, может быть объявлена только резолютивная часть принятого решения. В этом случае арбитражный суд объявляет, когда будет изготовлено решение в полном объеме и разъясняет порядок доведения его до сведения лиц, участвующих в деле. Изготовление решения в полном объеме может быть отложено на срок, не превышающий десяти дней. Дата изготовления решения в полном объеме считается датой принятия решения. Судья смотрит требуется ли изготовление мотивированного СА в соответствии с требованиями статьи 176 АПК РФ.Если «Да», то переход к шагу 28 процесса.Если «Нет», то переход к шагу 24 процесса.",-
24,Судья,-,-,Основание для вынесения мотивированного СА - заявление стороны?(Эксклюзивный шлюз),-,"Согласно ст. 229 АПК РФ «Решение арбитражного суда по делу, рассматриваемому в порядке упрощенного производства, принимается немедленно после разбирательства дела путем подписания судьей резолютивной части решения и приобщается к делу». «По заявлению лица, участвующего в деле, или в случае подачи апелляционной жалобы по делу, рассматриваемому в порядке упрощенного производства, арбитражный суд составляет мотивированное решение»Для вынесения мотивированного решения должно быть подано заявление стороны?Если «Да», то переход к шагу 25 процесса.Если «Нет», то переход к шагу 29 процесса.",-
25,Судья,Заявление о вынесении мотивированного СА,-,"Переход к типовому процессу ""Рассмотреть заявление об изготовлении мотивированного СА""",-,"Переход к типовому процессу ""Рассмотреть заявление об изготовлении мотивированного СА"", результатом которого будет рассмотренное судьей заявление стороны об изготовлении мотивированного СА по делу.",Автоматическое рассмотрение заявлений
26,Судья,-,-,Заявление удовлетворено?(Эксклюзивный шлюз),-,"Удовлетворил ли судья заявление стороны о вынесении мотивированного решения?Если «Да», то переход к шагу 28 процесса.Если «Нет», то переход к шагу 27 процесса.",-
27,Судья,-,-,Мотивированная часть не изготавливаетсяЗавершающее событие.,-,Завершение процесса. Мотивированная часть СА не будет изготавливаться судом.,-
28,Судья,-,-,Закрывающий шлюз,-,"Закрывающий шлюз, объединяющий потоки шага 23 и шага 26 процесса.",-
29,Судья,Апелляционная жалоба,-,Основание для вынесения мотивированного СА - поданная апелляционная жалоба стороны?(Эксклюзивный шлюз),-,"Мотивированное решение арбитражного суда изготавливается в течение пяти дней со дня поступления от лица, участвующего в деле, соответствующего заявления или со дня подачи апелляционной жалобы.Стороной подана апелляционная жалоба?Если «Да», то переход к шагу 31 процесса.Если «Нет», то переход к шагу 30 процесса",-
30,Судья,-,-,Мотивированная часть не изготавливаетсяЗавершающее событие,-,Завершение процесса. Мотивированная часть СА не будет изготавливаться судом.,-
31,Судья,-,-,Соблюден срок обжалования?(Эксклюзивный шлюз),-,"Судья проверяет был ли соблюден стороной срок обжалования?Если «Да», то переход к шагу 34 процесса.Если «Нет», то переход к шагу 32 процесса.",-
32,Судья,-,-,Суд апелляционной инстанции принял жалобу к производству?(Эксклюзивный шлюз),-,"Если срок обжалования был пропущен, но суд апелляционной инстанции принял жалобу к рассмотрению, то суд первой инстанции обязан изготовить мотивированный СА. Судья выясняет суд апелляционной инстанции принял жалобу к производству?Если «Да», то переход к шагу 34 процессаЕсли «Нет», то переход к шагу 33 процесса",-
33,Судья,-,-,Мотивированная часть не изготавливаетсяЗавершающее событие,-,Завершение процесса. Мотивированная часть СА не будет изготавливаться судом.,-
34,Судья,-,-,Закрывающий шлюз,-,"Закрывающий шлюз, объединяющий потоки шага 31 и шага 32 процесса.",-
35,Судья,-,-,Закрывающий шлюз,-,Закрывающий шлюз для шага 23 процесса.,-
36,Судья,-,-,"Переход к типовому процессу ""Сформировать проект СА""",-,"Переход к типовому процессу ""Сформировать проект СА"", результатом которого будет сформированный проект СА в зависимости от его вида и порядка рассмотрения дела, а также в зависимости от вида спора.",Автоматическое формирование проекта СА
37,Судья,-,-,Требуется подписать УКЭП?Эксклюзивный шлюз,-,"Если СА выносится электронно, то он должен быть подписан УКЭП судьи. Судья решает требуется ли подписать судебный акт УКЭП?Если «Да», то переход к шагу 39 процесса. Если «Нет», то переход к шагу 38 процесса.",-
38,Судья,-,-,Подписать,-,Судья подписывает сформированный проект СА в системе ПК САД.,-
39,Судья,-,-,Подписать УКЭП,-,"Судья подписывает сформированный проект СА УКЭП в специальной программе, которая не является частью ПК САД.",Автоматическая подпись УКЭП
40,Судья,-,-,Закрывающий шлюз,-,Закрывающий шлюз для шага 37 процесса.,-
41,Судья,-,-,Распечатать,-,"При выполнении решения в форме электронного документа дополнительно выполняется экземпляр данного решения на бумажном носителе, который также приобщается к делу. Судья распечатывает сформированный проект мотивированного судебного акта.",Автоматическая печать документов
42,Судья,-,-,Подписать СА,-,Судья ставит подпись на распечатанном судебном акте.,-
43,Судья,-,-,Материалы дела находятся в суде?Эксклюзивный шлюз,-,"Судья смотрит находятся ли материалы дела в суде?Если «Да», то переход к шагу 45 процесса.Если «Нет», то переход к шагу 44 процесса.",-
44,Судья,-,-,Переход к шагу 48. Событие-ссылка,-,"Если материалы дела находятся не в суде, то происходит переход к шагу 48 процесса.",-
45,Судья,-,-,Приобщить к материалам дела,-,Судья приобщает к материалам дела мотивированный СА.,-
46,Судья,-,-,Закрывающий шлюз.,-,"Закрывающий шлюз, объединяющий потоки шага 45 и шага 5 процесса.",-
47,Помощник судьи,-,-,СА принят в закрытом СЗ?(Эксклюзивный шлюз),-,"СА принятый по делу, рассмотренному в закрытом судебном заседании не подлежит публикации.Помощник судьи смотрит было ли дело рассмотрено в закрытом судебном заседании? Если «Да», то переход к шагу 49 процесса.Если «Нет», то переход к шагу 48 процесса.",-
48,Помощник судьи,-,-,"Переход к типовому процессу ""Опубликовать СА""",Не позднее следующего дня после принятия решения,"Решение, выполненное в форме электронного документа, направляется лицам, участвующим в деле, посредством его размещения в установленном порядке в информационно-телекоммуникационной сети ""Интернет"" в режиме ограниченного доступа не позднее следующего дня после дня его принятия. Решение, выполненное в форме электронного документа, может быть также направлено лицам, участвующим в деле, посредством единого портала государственных и муниципальных услуг либо системы электронного документооборота участника арбитражного процесса с использованием единой системы межведомственного электронного взаимодействия. Переход к типовому процессу ""Опубликовать СА"", результатом которого будет опубликованный в КАД СА.",Автоматическая публикация СА
49,Помощник судьи,-,-,Закрывающий шлюз,-,Закрывающий шлюз для шага 47 процесса.,-
50,Помощник судьи,-,-,Необходимо изготовить копии?(Эксклюзивный шлюз),-,"В случае, если решение выполнено только на бумажном носителе, арбитражный суд направляет копии решения лицам, участвующим в деле, в пятидневный срок со дня принятия решения заказным письмом с уведомлением о вручении или вручает им под расписку.Помощник судьи выясняет необходимо ли изготовить копии СА для направления сторонам.Если «Да», то переход к шагу 51 процесса. Если «Нет», то переход к шагу 53 процесса.",-
51,Помощник судьи,-,-,Изготовить копии,-,"Переход к типовому процессу ""Изготовить копии"", результатом которого будет изготовленные в соответствии с инструкцией по делопроизводству № 100 копии СА.",Автоматическое изготовление копий
52,Помощник судьи,-,-,Завершающее событие,-,Завершение процесса. СА принят.,-
53,Помощник судьи,-,-,Необходимо направить оригинал СА?(Эксклюзивный шлюз),-,"Помощник судьи смотрит необходимо ли направить оригинал СА в суд вышестоящей инстанции, если дело уже было направлено в этот суд ранее.Если «Да», то переход к шагу 54 процесса.Если «Нет», то переход к шагу 55 процесса.",-
54,Помощник судьи,-,-,"Переход к типовому процессу ""Направить документ""",-,"Переход к типовому процессу ""Направить документ"", результатом которого будет направленный в суд вышестоящей инстанции оригинал СА.",Автоматическое направление документов
55,Помощник судьи,-,-,Закрывающий шлюз,-,Закрывающий шлюз для шага 53 процесса.,-
56,Помощник судьи,-,-,Завершающее событие,-,Завершение процесса. СА принят и направлен в суд вышестоящей инстанции.,-
