Номер действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага процесса,Срок,Описание процесса
"",Судья,-,-,Эксклюзивный закрывающий шлюз.,-,Эксклюзивный закрывающий шлюз.
"",Система,Проверка наличия льгот по уплате ГП,-,Ответчик освобожден от уплаты ГП?Эксклюзивный шлюз,-,"Система делает вывод о наличии у ответчика льгот по ст. 105 АПК РФ.Если да, то переход к шагу 43. Если нет, то переход к шагу 42"
"",Система,-,Основания для взыскания с ответчика ,Записать основания для взыскания с ответчика ,-,"Государственная пошлина, от уплаты которой в установленном порядке истец был освобожден, взыскивается с ответчика в доход федерального бюджета пропорционально размеру удовлетворенных исковых требований, если ответчик не освобожден от уплаты государственной пошлины.Судья записывает основания для взыскания ГП с ответчика."
"",Система,-,-,Необходимо взыскать из казны?Эксклюзивный шлюз,-,"Если у ответчика имеются льготы по оплате гос. Пошлины, суд может взыскать сумму за счет Федерального Казначейства.Если да, то переход к шагу 44. Если нет, то переход к шагу 45"
"",Система,-,Основания для взыскания из казны РФ ,Записать основания для взыскания из казны РФ ,-,Система записывает основания для взыскания ГП из казны РФ
"",Система,-,-,Необходимо взыскать из бюджета РФ?Эксклюзивный шлюз,-,"Если у ответчика имеются льготы по оплате гос. Пошлины, суд может взыскать сумму за счет средств бюджета РФ.Если да, то переход к шагу 46. Если нет, то переход к шагу 47"
"",Система,-,Основания для взыскания из средств бюджета РФ,Записать основания для взыскания из средств бюджета РФ ,-,Система записывает основания для взыскания госпошлины из средств бюджета РФ.
"",Система,-,-,Записать основания для взыскания из бюджета организации ,-,"Если у ответчика имеются льготы по оплате гос. Пошлины, суд может взыскать сумму за счет средств бюджета организации.Система записывает основания для взыскания госпошлины из бюджета организации."
"",Система,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
"",Система,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
"",Система,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
"",Система,-,-,Решение в пользу истца?Эксклюзивный шлюз,-,"Судебные расходы, понесенные лицами, участвующими в деле, в пользу которых принят судебный акт, взыскиваются арбитражным судом со стороны (ч. 1 ст. 110 АПК РФ)Если решение, принятое судом, вынесено не в пользу истца, то государственную пошлину оплачивает истец. Если да, то переход к шагу 40. Если нет, то переход к шагу 52"
"",Система,-,Основания для взыскания с истца,Записать основания для взыскания с истца ,-,"Система записывает основания для взыскания государственной пошлины с истца ввиду того, что решение было принято не в его пользу."
"",Система,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
"",Система,-,-,Анализировать вопрос по судебным издержкам ,-,"Система приступает к анализу вопроса по судебным издержкам.К судебным издержкам, связанным с рассмотрением дела в арбитражном суде, относятся денежные суммы, подлежащие выплате экспертам, специалистам, свидетелям, переводчикам, расходы, связанные с проведением осмотра доказательств на месте, расходы на оплату услуг адвокатов и иных лиц, оказывающих юридическую помощь (представителей), расходы юридического лица на уведомление о корпоративном споре в случае, если федеральным законом предусмотрена обязанность такого уведомления, и другие расходы, понесенные лицами, участвующими в деле, в связи с рассмотрением дела в арбитражном суде. (ст. 106 АПК РФ)"
"",Система,-,Результат оценки разумности суммы,Оценить разумность заявленной к взысканию суммы,-,"Согласно п. 13 ППВСРФ № 1, разумными следует считать такие расходы на оплату услуг представителя, которые при сравнимых обстоятельствах обычно взимаются за аналогичные услуги.Система оценивает разумность суммы (LLM)"
"",Система,-,-,Судебные издержки взыскателя на участие в СЗ?Эксклюзивный шлюз,-,"Система определяет, относится ли вопрос о судебных издержек к факту участия взыскателя в СЗ.Если да, то переход к шагу 57. Если нет, то переход к шагу 56"
"",Система,-,-,"Рассматривались заявления должника об отсрочке (рассрочке) исполнения решения суда, об изменении способа и порядка его исполнения?Эксклюзивный шлюз",-,"П. 31 ППВС №1 от 21.01.2016: Судебные издержки, понесенные взыскателем на стадии исполнения решения суда, связанные с участием в судебных заседаниях по рассмотрению заявлений должника об отсрочке, о рассрочке исполнения решения суда, об изменении способа и порядка его исполнения, возмещаются должником.Если да, то переход к шагу 59. Если нет, то переход к шагу 58"
"",Система,-,-,Эксклюзивный закрывающий шлюз.,-,Эксклюзивный закрывающий шлюз.
"",Система,-,Основания для взыскания с должника ,Записать основания для взыскания с должника ,-,Система фиксирует основания для взыскания издержек с должника согласно П. 31 ППВС №1 от 21.01.2016
"",Система,-,-,Сумма требований обоснована и разумна?Эксклюзивный шлюз,-,"Если да, то переход к шагу 61. Если нет, то переход к шагу 62"
"",Система,-,Основания для взыскания указанной суммы ,Записать основания для взыскания указанной суммы ,-,Система фиксирует основания для взыскания указанной в заявлении суммы после установления факта ее разумности.
"",Система,-,Рекомендация по сумме,"Предложить сумму, подлежащую взысканию ",-,"Система (LLM) предлагает судье новую сумму, отвечающую критерию разумности, указанному в ППВС №1."
"",Система,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
"",Система,-,-,Эксклюзивный закрывающий шлюз.,-,Эксклюзивный закрывающий шлюз.
"",Система,-,-,Остались оплаченные или неполностью оплаченные расходы на проведение экспертизы?Эксклюзивный шлюз,-,"Неоплаченные или не полностью оплаченные расходы на проведение экспертизы подлежат взысканию в пользу эксперта или государственного судебно-экспертного учреждения с лиц, участвующих в деле, пропорционально размеру удовлетворенных исковых требований (ч. 6 ст. 110)Система производит автоматическую проверку наличия неоплаченных или неполностью оплаченных расходов на проведение экспертизы исходя из документов, содержащих данные об экспертизе, и из размера удовлетворенных требований.Если да, то переход к шагу 66. Если нет, то переход к шагу 67"
"",Система,-,Итог пропорционального распределения,Распределить пропорционально между ЛУВД ,-,Система распределяет расходы на проведение экспертизы пропорционально между лицами и фиксирует итог такого распределения.
"",Система,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
"",Система,-,-,Анализировать вопрос по судебным издержкам третьих лиц ,-,"Система приступает к анализу вопроса по судебным издержкам третьих лиц, не заявляющих самостоятельных требований, но участвующих в деле."
"",Система,-,-,"Третье лицо участвовало со стороны, выигравшей дело?Эксклюзивный шлюз",-,"Судебные издержки, понесенные третьими лицами, не заявляющими самостоятельных требований относительно предмета спора и участвовавшими в деле на стороне, в пользу которой принят судебный акт по делу, могут быть возмещены им, если их фактическое поведение как участников судебного процесса способствовало принятию данного судебного акта (ч. 5.1. ст. 110 АПК РФ)Если да, то переход к шагу 70. Если нет, то переход к шагу 72"
"",Система,-,-,Участие третьего лица способствовало принятию СА в пользу стороны?Эксклюзивный шлюз,-,"Система проверяет факт того, поспособствовало ли принятию решения участие третьего лица согласно ч. 5.1. ст. 110 АПК РФ.Если да, то переход к шагу 71. Если нет, то переход к шагу 72"
"",Система,-,Основания для возмещения суд. издержек третьему лицу ,Записать основания для возмещения суд. издержек третьему лицу ,-,Система фиксирует основания для возмещения суд. издержек третьему лицу в соответствии с ч. 5.1. ст. 110 АПК РФ.
"",Система,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
"",Система,-,-,Записать отсутствие оснований для взыскания в пользу третьего лица ,-,Система фиксирует отсутствие оснований для взыскания в пользу третьего лица по ч. 5.1. ст. 110 АПК РФ.
"",Система,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
"",Система,-,-,Третье лицо реализовала право на обжалование СА?Эксклюзивный шлюз,-,"Если третье лицо, не заявляющее самостоятельных требований относительно предмета спора, реализовало право на обжалование судебного акта и его жалоба была оставлена без удовлетворения, судебные издержки, понесенные лицами, участвующими в деле, в связи с рассмотрением данной жалобы, могут быть взысканы с этого третьего лица (ч. 5.2. ст. 110 АПК РФ)Система проверяет факт реализации третьим лицом права на обжалования СА путем поиска в деле жалобы, и анализа исхода рассмотрения этой жалобы.Если да, то переход к шагу 76. Если нет, то переход к шагу 77"
"",Система,Жалоба на СА,-,Жалоба оставлена без удовлетворения?Эксклюзивный шлюз,-,"Система проверяет факт оставление жалобы третьего лица без удовлетворения согласно ч. 5.2. ст. 110 АПК РФ.Если да, то переход к шагу 78. Если нет, то переход к шагу 65"
"",Система,-,Основания для взыскания суд. издержек по обжалованию с третьего лица ,Записать основания для взыскания суд. издержек с третьего лица ,-,Система фиксирует основания для взыскания суд. издержек с третьего лица в связи с оставлением его жалобы без удовлетворения.
"",Система,-,-,Записать отсутствие оснований для взыскания суд. издержек с третьего лица ,-,"Система фиксирует отсутствие оснований для взыскания суд. издержек с третьего лица в связи с отсутствием оснований, указанных в ч. 5.2. ст. 110 АПК РФ"
"",Система,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
"",Система,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
"",Система,-,-,Параллельный шлюз,-,Параллельный шлюз
"",Система,-,Отчет,Сформировать отчет ,-,"Система формирует отчет, в котором указывает на выводы и результаты проверок, связанных с распределением/взысканием судебных расходов"
"",Система,-,Уведомление,Уведомить пользователя,"",Система направляет уведомление пользователю о завершении всех проверок и формировании отчета для валидации
"",Судья,Отчет,-,Проверить выводы системы,-,"Переход к типовому процессу «Проверить выводы системы», в рамках которого судья проверяет корректность выводов системы по осуществленным проверкам. Судья может внести изменения в любую запись отчета при необходимости."
"",Судья,-,-,Принять решение,-,"Судья принимает решение по вопросу распределения/взыскания расходов, опираясь на системный отчет."
"",Судья,-,-,Ответчик добровольно удовлетворил требования истца в СЗ?Эксклюзивный шлюз,-,"При прекращении производства по делу ввиду отказа истца от иска в связи с добровольным удовлетворением его требований ответчиком после обращения истца в суд судебные издержки взыскиваются с ответчика (п. 26 ППВС №1)Судья проверяет факт добровольного удовлетворения требований истца ответчком.Если да, то переход к шагу 87. Если нет, то переход к шагу 94"
"",Судья,-,-,Истец воспользовался правом на отказ от иска?Эксклюзивный шлюз,-,"Судья проверяет факт отказа истца от иска.Если да, то переход к шагу 89. Если нет, то переход к шагу 88"
"",Судья,-,-,Установить невозможность возложения суд. расходов на истца,"","Судья устанавливает невозможность взыскания расходов с истца и фиксирует эту невозможность в системе.На истца не могут быть возложены судебные расходы, понесенные ответчиком, в случае когда требование им удовлетворено добровольно в ходе судебного разбирательства, а истец не воспользовался своим правом на отказ от иска, согласно п. 45 Обзора судебной практики Верховного Суда РФ N 3 (2021) "
"",Судья,-,-,Установить возможность взыскания с истца,-,Судья устанавливает возможность взыскания расходов с истца и фиксирует такую возможность в системе
"",Судья,-,-,Необходимо взыскать расходы на представителя?Эксклюзивный шлюз,-,"Расходы на оплату услуг представителя, понесенные лицом, в пользу которого принят судебный акт, взыскиваются арбитражным судом с другого лица, участвующего в деле, в разумных пределах (ч. 2 ст. 110 АПК РФ)Судья проверяет наличие необходимости взыскать расходы на представителя.Если да, то переход к шагу 91. Если нет, то переход к шагу 92"
"",Судья,-,-,Решить вопрос по расходам на представителя,-,Судья взыскивает расходы на представителя согласно правилам ст. 110 АПК РФ. Все необходимые сопутствующие данные судья фиксирует в системе.
"",Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
"",Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
"",Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
78,Судья,-,-,Исковое заявление оставлено без рассмотрения в связи с нарушением права на подачу?Эксклюзивный шлюз,-,"В случаях прекращения производства по делу, оставления заявления без рассмотрения судебные издержки взыскиваются с истца. (п. 25 ППВС №1)В случае, если исковое заявление оставлено без рассмотрения ввиду того, что оно подписано и подано лицом, не имеющим полномочий на его подписание и (или) подачу, либо подписано лицом, должностное положение которого не указано, судебные издержки, понесенные участниками процесса в связи с подачей такого заявления, взыскиваются с этого лица.Судья проверяет причину оставления заявления без рассмотрения.Если да, то переход к шагу 96. Если нет, то переход к шагу 97"
79,Судья,-,-,"Установить основания взыскания с лица, подавшего иск",-,"Судья устанавливает основания взыскания издержек всех участников процесса с лица, подавшего иск, согласно п. 25 ППВС №1, и фиксирует это в системе."
80,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
81,Судья,-,-,Решение принято не в пользу солидарных должников/кредиторов?Эксклюзивный шлюз,-,"Если лица, не в пользу которых принят судебный акт, являются солидарными должниками или кредиторами, судебные издержки возмещаются указанными лицами в солидарном порядке (п. 5 ППВС №1)Судья проверяет, в чью пользу было принято решение, в случае участия в деле солидарных должников/кредиторов.Если да, то переход к шагу 99. Если нет, то переход к шагу 100"
82,Судья,-,-,Установить основания для взыскания издержек солидарно,-,Судья устанавливает основания для взыскания издержек солидарно согласно п. 5 ППВС №1 и фиксирует эти основания в системе
83,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
84,Судья,-,-,Оспаривание решения судебного пристава/исполнителя?Эксклюзивный шлюз,-,"Согласно ППВС РФ от 28.05.2019 N 13, в случае, если был доказан факт незаконности действия/бездействия  судебного пристава/исполнителя, судебные расходы должны быть возмещены за счет  территориального органа ФССП. (В случае удовлетворения требований физических и юридических лиц об оспаривании ненормативных правовых актов, решений и действий (бездействия) государственных органов, органов местного самоуправления, организаций, наделенных отдельными государственными или иными публичными полномочиями, обязанность по возмещению судебных расходов возлагается судом непосредственно на орган власти, организацию, чьи решение, действия (бездействие) оспаривались. Абз. 4 п. 23 ППВС №13)Если да, то переход к шагу 102. Если нет, то переход к шагу 105"
85,Судья,-,-,Необходимо возместить расходы за счет территориального органа ФССП?Эксклюзивный шлюз,-,"Если да, то переход к шагу 103. Если нет, то переход к шагу 104"
86,Судья,-,-,Взыскать суд. расходы с территориального органа ФССП,-,"Судья возлагает обязанность по возмещению судебных расходов на территориальный орган ФССП, кроме государственной пошлины, и фиксирует эту обязанность в системе."
87,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
88,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
89,Судья,-,-,Дело о признании права собственности на самовольную постройку?Эксклюзивный шлюз,-,"Судебные расходы, понесенные лицами, участвующими в деле о сносе самовольной постройки, о сносе самовольной постройки или ее приведении в соответствие с установленными требованиями, подлежат распределению по общим правилам, предусмотренным ст. 110 АПК РФ. При этом, судебные расходы, понесенные истцом в связи с рассмотрением требования о признании права собственности на самовольную постройку, не подлежат распределению между лицами, участвующими в деле, если не установлены факты нарушения или оспаривания прав истца ответчиком или третьим лицом, в том числе путем совершения процессуальных действий (п. 47 ППВС от 12.12.2023 N 44)Судья проверяет категорию дела.Если да, то переход к шагу 107. Если нет, то переход к шагу 111"
90,Судья,-,-,Ответчик/третье лицо нарушали/ оспаривали права истца?Эксклюзивный шлюз,-,"Судья проверяет факт нарушения или оспаривания права истца ответчиком/третьим лицом при рассмотрении его требования о признании права собственности на самовольную постройку. Если да, то переход к шагу 109. Если нет, то переход к шагу 108"
91,Судья,-,-,Установить отсутствие оснований для распределения между сторонами,-,Судья устанавливает отсутствие оснований для распределения между сторонами согласно п. 47 ППВС №44) и фиксирует это в системе.
92,Судья,-,-,Установить основания для распределения между сторонами,-,Судья устанавливает основания для распределения расходов между сторонами при разрешении вопроса о самовольной постройке в связи с отсутствием нарушений и фиксирует эти основания в системе.
93,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
94,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
95,Судья,-,-,Было заключено мировое соглашение?Эксклюзивный шлюз,-,"При заключении мирового соглашения, соглашения о примирении судебные издержки распределяются в соответствии с его условиями. (п. 27 ППВС №1)Если да — переход к шагу 113, если нет — к шагу 114"
96,Судья,Мировое соглашение,-,Установить необходимость распределить расходы между сторонами,-,Судья устанавливает необходимость распределения расходов между сторонами в соответствии с договоренностями в мировом соглашении и фиксирует эту необходимость в системе.
97,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
98,Судья,-,-,Лицо подавало апелляционную/кассационную/надзорную жалобу?Эксклюзивный шлюз,-,"Лицо, подавшее апелляционную, кассационную или надзорную жалобу, а также иные лица, фактически участвовавшие в рассмотрении дела на соответствующей стадии процесса, но не подававшие жалобу, имеют право на возмещение судебных издержек, понесенных в связи с рассмотрением жалобы, в случае, если по результатам рассмотрения дела принят итоговый судебный акт в их пользу.В свою очередь, с лица, подавшего апелляционную, кассационную или надзорную жалобу, в удовлетворении которой отказано, могут быть взысканы издержки других участников процесса, связанные с рассмотрением жалобы. (п. 30 ППВС №1)Судья проверяет, рассматривалось ли дело по жалобе, путем поиска связанной с делом жалобы в системе.Если да, то переход к шагу 116. Если нет, то переход к шагу 119"
99,Судья,Жалоба,-,В удовлетворении жалобы отказано?Эксклюзивный шлюз,-,"Судья проверяет факт отказа в удовлетворении жалобы.Если да, то переход к шагу 117. Если нет, то переход к шагу 118"
100,Судья,-,-,Установить основания для взыскания издержек с заявителя,-,"Судья устанавливает основания для взыскания издержек с заявителя (тех издержек, которые связаны с рассмотрением жалобы) в связи с отказом в удовлетворении жалобы согласно п. 30 ППВС №1 и фиксирует эти основания в системе."
101,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
102,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
103,Судья,-,-,Иск был удовлетворен частично? Эксклюзивный шлюз.,-,"В случае, если иск удовлетворен частично, судебные расходы относятся на лиц, участвующих в деле, пропорционально размеру удовлетворенных исковых требований (ч. 1 ст. 110 АПК РФ)Судья проверяет, был ли удовлетворен иск полностью или в части.Если да: переход к шагу 121Если нет: переход к шагу 122"
104,Судья,-,-,Взыскать пропорционально удовлетворенным требованиям,-,Судья взыскивает судебные расходы со сторон пропорционально удовлетворенным требованиям и отображает сопутствующие данные в системе.
105,Судья,-,-,Взыскать расходы с проигравшей стороны ,-,Судья взыскивает расходы с проигравшей стороны по правилам ст. 110 АПК РФ и отображает сопутствующие данные в системе.
106,Судья,-,-,Учесть установленные ранее основания взыскания ,-,"Судья анализирует установленные ранее основания для взыскания судебных расходов для их учета при определения суммы, подлежащей взысканию."
107,Судья,-,-,Возможно взыскать по общему правилу? Эксклюзивный шлюз.,-,Судья оценивает возможность взыскания расходов по общему правилу с учетом особенностей закона.Если да: переход к шагу 126Если нет: переход к шагу 125
108,Судья,-,-,"Использовать основания взыскания, установленные ранее ",-,Судья применяет решения и правила взыскания расходов в соответствии с раннее установленными основаниями взыскания.
109,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
110,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
111,Судья,-,-,Завершение процесса.,-,Завершение процесса.
