№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
9,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,—,—,Опубликовать измененный закон,__,Сотрудник отдела обобщения судебной практики и анализа судебной статистики выполняют задачу публикует измененный закон в файловом хранилище или на внутреннем портале.
10,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,—,—,Эксклюзивный закрывающий шлюз,—,Закрывающий шлюз для шага 8 процесса.
11,Система,—,Уведомление об изменениях в законе ,Направить уведомление сотрудникам суда,__,"Система направляет созданное уведомление об изменении в законе всем сотрудникам суда, которых необходимо ознакомить с изменениями в НПА."
12,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,—,—,Необходимо сформировать судебную практику в связи с внесенными изменениями?. Эксклюзивный шлюз,—,"Сотрудник отдела обобщения судебной практики и анализа судебной статистики решает, необходимо ли формирование судебной практики внутри суда в связи с внесенными изменениями в НПА.Если «Да», то переход к шагу 14Если «Нет», то переход к шагу 13"
13,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,—,—,Изменения в законодательстве доведены до сотрудников без формирования практики,—,"Завершение процесса информирование работников суда об изменениях в НПА. Изменения в законодательстве доведены до сотрудников без формирования практики, так как внесенные изменения не требуют выработки единого подхода к его применению, однозначны и понятны."
14,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,—,—,Организовать собрание научно-консультационного совета,__,"Сотрудник отдела обобщения судебной практики и анализа судебной статистики организует собрание научно-консультационного совета в связи с тем, что изменения в законодательстве требуют выработки единого подхода к его применению, так как не однозначны и могут возникнуть разночтения в его применении. В таких случаях научно-консультационный совет вырабатывает единый подход к применению, который будет действовать до официальных разъяснений, указанных в Обзорах практики, Постановлениях пленумов."
15,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,—,—,Обсудить внесенные изменения,__,"Собрание научно-консультационного совета обсуждает изменения НПА и вносит предложения по формированию единой практики применения, а сотрудник отдела обобщения судебной практики и анализа судебной статистики фиксирует ход обсуждения."
16,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,—,—,Сформировать практику суда в связи с внесенными изменениями,__,Сотрудник отдела обобщения судебной практики и анализа судебной статистики и научно-консультационный совет формируют практику суда в связи с внесенными изменениями.
17,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,—,Протокол собрания научно-консультационного совета,Составить протокол собрания,__,"Сотрудник отдела обобщения судебной практики и анализа судебной статистики составляет протокол собрания научно-консультационного совета, которую подпишут участники совета и сотрудник отдела обобщения судебной практики и анализа судебной статистики"
18,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,—,—,Необходимо довести выработанную практику до всех сотрудников суда?. Эксклюзивный  шлюз,—,"Сотрудник отдела обобщения судебной практики и анализа судебной статистики решает есть ли необходимость довести выработанную практику до всех сотрудников суда? Если «Да», то переход к шагу 19Если «Нет», то переход к шагу 20"
19,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,—,"Документ, содержащий практику применения изменений","Направить документ, содержащий практику применения изменений",__,"Сотрудник отдела обобщения судебной практики и анализа судебной статистики направляет всем сотрудникам документ в электронном виде, содержащий практику применения изменений, внесенных в законодательство."
20,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,—,—,Эксклюзивный закрывающий шлюз,—,Закрывающий шлюз для шага 18 процесса.
21,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,—,—,Изменения в законодательстве доведены до сотрудников суда. Сформирована судебная практика,—,Завершение процесса информирование работников суда об изменениях в НПА. Изменения в законодательстве доведены до сотрудников суда. Сформирована судебная практика для единообразного применения закона в суде до появления официальных разъяснений от ВАС РФ или ВС РФ.
